#ncbi_accession	source_identifier	label	sequence_cutoff	domain_cutoff	hmm_length	family_type	for_structural_annotation	for_naming	for_AMRFinder	product_name	gene_symbol	gene_synonyms	ec_numbers	go_terms	pmids	taxonomic_range	taxonomic_range_name	taxonomic_rank_name	n_refseq_protein_hits	source	name_orig	hmm_name	comment
NF021420.7	PF09894.15	MJ0548_N	26.8	26.8	196	PfamAutoEq	Y	Y	N	MJ0548 connectase family domain-containing protein					33688044	28890	Methanobacteriota	phylum	373	EBI-EMBL	Connectase MJ0548-like, N-terminal domain	Connectase MJ0548-like, N-terminal domain	This domain is found at the N-terminal end of Connectase MJ0548 from Methanocaldococcus jannaschii and similar archaeal sequences. MJ0548 is a distant, monomeric proteasome homologue which connects proteins in a sequence-specific manner (PMID: 33688044). (from Pfam)
NF021422.6	PF09897.14	DUF2124	27	27	141	PfamAutoEq	Y	Y	N	DUF2124 family protein						28890	Methanobacteriota	phylum	436	EBI-EMBL	Uncharacterized protein conserved in archaea (DUF2124)	DUF2124 family protein	This domain, found in various hypothetical archaeal proteins, has no known function. (from Pfam)
NF021441.6	PF09920.15	DUF2150	28	28	189	PfamAutoEq	Y	Y	N	DUF2150 family protein						28890	Methanobacteriota	phylum	876	EBI-EMBL	Uncharacterized protein conserved in archaea (DUF2150)	DUF2150 family protein	This domain, found in various hypothetical archaeal proteins, has no known function. (from Pfam)
NF021491.6	PF09974.14	DUF2209	26.8	26.8	121	PfamAutoEq	Y	Y	N	DUF2209 family protein						28890	Methanobacteriota	phylum	292	EBI-EMBL	Uncharacterized protein conserved in archaea (DUF2209)	DUF2209 family protein	This domain, found in various hypothetical archaeal proteins, has no known function. (from Pfam)
NF021630.6	PF10126.14	Nit_Regul_Hom	23.8	23.8	107	domain	Y	Y	N	MJ1244 family protein						28890	Methanobacteriota	phylum	122	EBI-EMBL	Uncharacterized protein, homolog of nitrogen regulatory protein PII	MJ1244 family protein	This domain, found in various hypothetical archaeal proteins, has no known function. It is distantly similar to the nitrogen regulatory protein PII. (from Pfam)
NF033195.1		F430_CfbB	560	560	451	exception	Y	Y	N	Ni-sirohydrochlorin a,c-diamide synthase	cfbB					28890	Methanobacteriota	phylum	552	NCBIFAM	Ni-sirohydrochlorin a,c-diamide synthase	Ni-sirohydrochlorin a,c-diamide synthase	Members of this family are Ni-sirohydrochlorin a,c-diamide synthase, involving in synthesizing coenzyme F430, used in methanogens by coenzyme M reductase. Members of this family are restricted to archaeal methanogens, and resemble (and may be misannotated as) the enzyme cobyrinic acid a,c-diamide synthase, involved in cobalamin biosynthesis.
NF036580.6	PF17393.7	DUF5402	25	25	120	PfamEq	Y	Y	N	DUF5402 family protein						28890	Methanobacteriota	phylum	79	EBI-EMBL	Family of unknown function (DUF5402)	DUF5402 family protein	This is a family of unknown function found in Methanobacteria and Methanococci. (from Pfam)
NF036608.6	PF17299.7	DUF5350	25	25	57	subfamily	Y	Y	N	DUF5350 family protein						28890	Methanobacteriota	phylum	216	EBI-EMBL	Family of unknown function (DUF5350)	DUF5350 family protein	This family is found in Euryarchaeota, predominantly in Methanomicrobia and Archaeoglobi. No known function for this family has been demonstrated. (from Pfam)
NF038086.1		anchor_synt_A	200	200	222	exception	Y	Y	N	protein sorting system archaetidylserine synthase					32209681	28890	Methanobacteriota	phylum	637	NCBIFAM		protein sorting system archaetidylserine synthase	Members of this family are homologs of CDP-diacylglycerol--serine O-phosphatidyltransferase PssA of subclass II, as found in Gram-positive bacteria, but occur in a branch of the archaea. In Haloferax volcanii, the member of this family HVO_1143, together with the PssD-related decarboxylase HVO_0146, were both shown to be required for the archaeosortase ArtA to cause removal of the PGF-CTERM sorting signal and replacement with a prenyl-derived C-terminal lipid anchor. Based on these observations, members of this family are suggested to be CDP-2,3-di-O-geranylgeranyl-sn-glycerol:l-serine O-archaetidyltransferase, generating archaetidylserine en route to archaetidylethanolamine biosynthesis. This PssA-like phosphatidyltransferase, along with a PssD-like decarboxylase, is required in Haloarchaea for the archaeosortase ArtA to replace the PGF-CTERM sorting signal with a C-terminal lipid anchor.
NF039176.5	PF18881.5	DUF5646	27	27	69	PfamEq	Y	Y	N	DUF5646 family protein					15768033	28890	Methanobacteriota	phylum	19	EBI-EMBL	Family of unknown function (DUF5646)	DUF5646 family protein	This is a family of unknown function. Family members include the archaeal homolog the bacterial RelB, a toxin-antitoxin system which is activated during amino acid starvation. This family is mostly found in thermococcus archaea (PMID: 15768033). (from Pfam)
NF039237.5	PF19119.5	DUF5803	25	25	196	subfamily	Y	Y	N	DUF5803 family protein						28890	Methanobacteriota	phylum	927	EBI-EMBL	Family of unknown function (DUF5803)	DUF5803 family protein	Family of unknown function predominantly found in Halobacteria. (from Pfam)
NF039242.5	PF19132.5	DUF5815	25	25	155	subfamily	Y	Y	N	DUF5815 family protein						28890	Methanobacteriota	phylum	632	EBI-EMBL	Family of unknown function (DUF5815)	DUF5815 family protein	This is a family of unknown function predominantly found in Halobacteria. (from Pfam)
NF039538.5	PF19095.5	DUF5783	32	32	105	subfamily	Y	Y	N	DUF5783 family protein						28890	Methanobacteriota	phylum	772	EBI-EMBL	Family of unknown function (DUF5783)	DUF5783 family protein	Family of unknown function predominantly found in Halobacteria. (from Pfam)
NF039541.5	PF19120.5	DUF5804	26.5	26.5	108	subfamily	Y	Y	N	DUF5804 family protein						28890	Methanobacteriota	phylum	763	EBI-EMBL	Family of unknown function (DUF5804)	DUF5804 family protein	Family of unknown function predominantly found in Halobacteria and Methanomicrobia. (from Pfam)
NF039542.5	PF19122.5	DUF5806	33.5	33.5	148	PfamEq	Y	Y	N	DUF5806 family protein						28890	Methanobacteriota	phylum	887	EBI-EMBL	Family of unknown function (DUF5806)	DUF5806 family protein	Members of this archaeal protein family tend to have a long, low-complexity N-terminal region, but the core region is very well conserved throughout the family.
NF039546.5	PF19138.6	TbsP_N	27.1	27.1	144	subfamily	Y	Y	N	transcriptional regulator TbsP domain-containing protein					38204420	28890	Methanobacteriota	phylum	1162	EBI-EMBL	Transcriptional regulator TbsP-like, N-terminal	DUF5821 family protein	This domain is found at the N-terminal of the putative transcriptional regulator TbsP from Halobacterium volcanii (Swiss:D4GXF9, also known as HVO_2861) and similar sequences predominantly found in Halobacteria. TbsP is required for adhesion to abiotic surfaces (i.e., biofilm formation) and maintains wild-type cell morphology and motility. This domain shows weak structural similarity with the DNA -binding protein TrmBL2 of P. furiosus (Pfam:PF11495) (PMID: 38204420). (from Pfam)
NF039856.5	PF19091.5	DUF5779	29.5	29.5	96	subfamily	Y	Y	N	DUF5779 family protein						28890	Methanobacteriota	phylum	555	EBI-EMBL	Family of unknown function (DUF5779)	DUF5779 family protein	Family of unknown function predominantly found in Halobacteria. (from Pfam)
NF039862.5	PF19109.5	DUF5796	36.9	36.9	139	subfamily	Y	Y	N	DUF5796 family protein						28890	Methanobacteriota	phylum	606	EBI-EMBL	Family of unknown function (DUF5796)	DUF5796 family protein	Family of proteins of unknown function predominantly found in Halobacteria. (from Pfam)
NF039909.5	PF19294.4	DACZ_N	24	24	125	domain	Y	Y	N	diadenylate cyclase domain-containing protein					30884174	28890	Methanobacteriota	phylum	621	EBI-EMBL	Diadenylate cyclase, N-terminal	Diadenylate cyclase, N-terminal	This domain is found at the N-terminus of the DacZ diadenylate cyclase enzyme from euryarchaea. This domain appears to be distantly related to the C-terminal domain of pyruvate kinase Pfam:PF02887 (PMID: 30884174). (from Pfam)
NF040625.1		HacB2_Meth	230	230	161	equivalog	Y	Y	N	homoaconitase small subunit	hacB		4.2.1.114		20170198	28890	Methanobacteriota	phylum	197	NCBIFAM		homoaconitase small subunit	
NF040654.1		MtaA_Meth	400	400	337	equivalog	Y	Y	N	methylcobamide:CoM methyltransferase MtaA	mtaA		2.1.1.246	GO:0015948	10215883,8654414,9654068	28890	Methanobacteriota	phylum	441	NCBIFAM		methylcobamide:CoM methyltransferase MtaA	MtaABC catalyze the formation of methyl-coenzyme M from methanol and coenzyme M. MtaA transfers the methyl group from methylated MtaC.
NF040704.1		IPP_alt_MvaD	475	475	323	equivalog	Y	Y	N	phosphomevalonate decarboxylase MvaD	mvaD		4.1.1.99	GO:0009240,GO:0090710	24375100	28890	Methanobacteriota	phylum	679	NCBIFAM		archaeal-type phosphomevalonate decarboxylase	The archaeal alternate mevalonate pathway generates isopentenyl diphosphate by decarboxylation of mevalonate monophosphate followed by phosphorylation of isopentyl phosphate. This model represents the enzyme responsible for the decarboxylation of mevalonate monophosphate that is found in halophilic archaea.
NF040720.1		MptN_Meth	350	350	291	equivalog	Y	Y	N	tetrahydromethanopterin:alpha-L-glutamate ligase	mptN		6.3.2.33	GO:0016879,GO:0036211	12909715	28890	Methanobacteriota	phylum	147	NCBIFAM		tetrahydromethanopterin:alpha-L-glutamate ligase	
NF040723.1		UDP-GlcNAcDh_Arch	450	450	302	equivalog	Y	Y	N	UDP-N-acetylglucosamine 3-dehydrogenase			1.1.1.374	GO:0016491	18634748	28890	Methanobacteriota	phylum	194	NCBIFAM		UDP-N-acetylglucosamine 3-dehydrogenase	
NF040819.1		helicase_HerA	970	970	561	equivalog	Y	Y	N	DNA double-strand break repair helicase HerA	herA		3.6.4.12	GO:0003678,GO:0005524,GO:0006281	18957200	28890	Methanobacteriota	phylum	65	NCBIFAM		DNA double-strand break repair helicase HerA	
NF040839.1		tungstate_WtpB	340	340	251	equivalog	Y	Y	N	tungstate ABC transporter permease WtpB	wtpB			GO:0055085	16952940	28890	Methanobacteriota	phylum	146	NCBIFAM		tungstate ABC transporter permease WtpB	
NF040849.1		tRNAmod_TiaS	600	600	422	equivalog	Y	Y	N	tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS	tiaS		6.3.4.22	GO:0002101,GO:0016879	20139989,30121296	28890	Methanobacteriota	phylum	116	NCBIFAM		tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS	
NF041029.1		Mre11_Pyroc	600	600	438	equivalog	Y	Y	N	DNA double-strand break repair protein Mre11	mre11			GO:0006302,GO:0045027	11029422,11371344	28890	Methanobacteriota	phylum	72	NCBIFAM		DNA double-strand break repair protein Mre11	
NF041032.1		NurA_Pyro	650	650	450	equivalog	Y	Y	N	DNA double-strand break repair nuclease NurA	nurA			GO:0004519,GO:0004527,GO:0006281	18957200,22064858	28890	Methanobacteriota	phylum	68	NCBIFAM		DNA double-strand break repair nuclease NurA	
NF041301.1		Cit_synth_Halo_CitZ	550	550	379	equivalog	Y	Y	N	citrate synthase	citZ		2.3.3.16	GO:0006099,GO:0036440	10397837,1321743	28890	Methanobacteriota	phylum	680	NCBIFAM		citrate synthase	
NF041367.1		CheY_Halo	200	200	114	equivalog	Y	Y	N	chemotaxis protein CheY	cheY			GO:0000160,GO:0006935	23171228,8636990	28890	Methanobacteriota	phylum	347	NCBIFAM		chemotaxis protein CheY	
NF041396.1		TranRegLrp_Halo	190	190	149	equivalog	Y	Y	N	HTH-type transcriptional regulator Lrp	lrp			GO:0043565	20509863	28890	Methanobacteriota	phylum	824	NCBIFAM		HTH-type transcriptional regulator Lrp	
NF041780.1		hetero_SS_HdrB	450	450	304	equivalog	Y	Y	N	ferredoxin:CoB-CoM heterodisulfide reductase subunit HdrB	hdrB		1.8.7.3	GO:0015948,GO:0016491,GO:0051539	19968794	28890	Methanobacteriota	phylum	259	NCBIFAM		ferredoxin:CoB-CoM heterodisulfide reductase subunit HdrB	
NF041909.1		HVO_2753	80	80	59	equivalog	Y	Y	N	HVO_2753 family zinc finger protein				GO:0008270	32905660	28890	Methanobacteriota	phylum	426	NCBIFAM		HVO_2753 family zinc finger protein	Short proteins of this family are important for stress adaptation, biofilm formation, and swarming.
NF041914.1		HVO_2523	60	60	33	equivalog	Y	Y	N	HVO_2523 family zinc finger protein				GO:0008270	31083437	28890	Methanobacteriota	phylum	542	NCBIFAM		HVO_2523 family zinc finger protein	Short proteins of this family are important for stress adaptation, biofilm formation, and swarming.
NF041919.1		SAMP2	70	70	66	equivalog	Y	Y	N	ubiquitin-like small modifier protein SAMP2	samp2			GO:0008641	20054389,23821306	28890	Methanobacteriota	phylum	582	NCBIFAM		ubiquitin-like small modifier protein SAMP2	
NF042898.4	PF20576.3	HEWD	27	27	61	PfamEq	Y	Y	N	HEWD family protein						28890	Methanobacteriota	phylum	572	EBI-EMBL	HEWD domain	HEWD family protein	This cytosolic protein family, named for a nearly invariant HEWD motif, averages about 61 amino in length and appears restricted to halophilic archaea. The alignment shows an invariant CxxC motif and an additional invariant Cys residue.
NF042911.1		FMH_DH_FwdA	950	950	569	exception	Y	Y	N	tungsten-dependent formylmethanofuran dehydrogenase subunit FwdA	fwdA				19627604,27846502	28890	Methanobacteriota	phylum	84	NCBIFAM		tungsten-dependent formylmethanofuran dehydrogenase subunit FwdA	
NF044851.3	PF21690.3	MJ1010-like_2nd	27	27	91	domain	Y	N	N	Uncharacterized ATP-binding protein MJ1010-like, C-terminal domain						28890	Methanobacteriota	phylum	202	EBI-EMBL	Uncharacterized ATP-binding protein MJ1010-like, C-terminal domain	Uncharacterized ATP-binding protein MJ1010-like, C-terminal domain	This domain is found at the C-terminal end of a group of uncharacterised proteins that belong to the archaeal AAA+ ATPase superfamily, including MJ1010 from Methanocaldococcus jannaschii. This domain is usually found associated with Pfam:PF01637. (from Pfam)
NF044914.3	PF20823.2	Cmr2_Zn-bd	27	27	58	domain	Y	Y	N	CRISPR RNA silencing complex Cmr2 subunit Zn-binding domain-containing protein					22405013,22449983,23395183,23583914,25280103	28890	Methanobacteriota	phylum	11	EBI-EMBL	CRISPR RNA silencing complex Cmr2 subunit, Zn-binding domain	CRISPR RNA silencing complex Cmr2 subunit, Zn-binding domain	The prokaryotic CRISPR RNA-Cas protein (Cmr) complex provides protection against mobile genetic elements by cleaving foreign RNA. Its largest subunit is Cmr2. This protein shows a N-terminal HD (histidine-aspartate) domain, two RRM domains resembling adenylate cyclase and two alpha-helical domains. This entry represents the conserved Zn binding subdomain included in the first RMM domain (D1 domain) of Cmr2 [1-5]. This region shows two alpha-helices. (from Pfam)
NF045147.3	PF21754.2	DacZ_A	28.3	28.3	109	domain	Y	N	N	Probable sensor domain DacZ_A						28890	Methanobacteriota	phylum	205	EBI-EMBL	Probable sensor domain DacZ_A	Probable sensor domain DacZ_A	This is a probable sensor domain found at the N-terminal of archaeal diadenylate cyclases, which are typically followed by the DAC (Pfam:PF02457) domain. It may consist of four alpha-helices and four beta-strands according to structure predictions. DacZ_A is distantly related to PK_C (Pfam:PF02887), DacZ_N (Pfam:PF19294) and DACZ_P. (from Pfam)
NF045210.3	PF20755.2	DUF6834_C	27	27	129	domain	Y	Y	N	DUF6834 family protein						28890	Methanobacteriota	phylum	41	EBI-EMBL	Domain of unknown function (DUF6834), C-terminal domain	DUF6834 family C-terminal domain	This presumed domain is found at the C terminus of Uncharacterized protein AF_2093 from Archaeoglobus fulgidus and similar proteins of unknown function from archaea. (from Pfam)
NF045545.1		HAH_0734_fam	80	80	82	hypoth_equivalog	Y	Y	N	HAH_0734 family protein						28890	Methanobacteriota	phylum	557	NCBIFAM		HAH_0734 family protein	This uncharacterized protein family is found in halophilic archaea and averages about 87 amino acids in length.
NF045703.1		rSAM_Tes_intein	1700	1700	1040	exception	Y	Y	N	tetraether lipid synthase Tes, intein-containing	tes-int		1.21.98.5	GO:0046467,GO:0051539	35882349	28890	Methanobacteriota	phylum	20	NCBIFAM		tetraether lipid synthase Tes, intein-containing	
NF046111.1		RNaseP3Mthb	200	200	236	equivalog	Y	Y	N	ribonuclease P protein component 3	rnp3		3.1.26.5	GO:0001682,GO:0004526,GO:0030677	12003490	28890	Methanobacteriota	phylum	321	NCBIFAM		ribonuclease P protein component 3	
NF046611.2	PF22176.2	AF_0587-like_pre-PUA	27	27	61	domain	Y	N	N	AF_0587-like, pre-PUA domain						28890	Methanobacteriota	phylum	21	EBI-EMBL	AF_0587-like, pre-PUA domain	AF_0587-like, pre-PUA domain	This domain is found in AF_0587 from Archaeoglobus fulgidus. It is found N-terminal to the PUA domain (Pfam:PF01472). (from Pfam)
NF046656.2	PF22407.1	Cmr1_C	26	26	120	domain	Y	N	N	Cmr1, C-terminal domain					24531487	28890	Methanobacteriota	phylum	6	EBI-EMBL	Cmr1, C-terminal domain	Cmr1, C-terminal domain	This entry represents the C-terminal RRM domain of CRISPR system Cmr subunit Cmr1 from Archaeoglobus fulgidus (PMID: 24531487). (from Pfam)
NF046659.2	PF22411.1	Mre11_2nd	27	27	59	domain	Y	N	N	Mre11 nuclease, second domain					11371344,15047855,18854158,23080121	28890	Methanobacteriota	phylum	73	EBI-EMBL	Mre11 nuclease, second domain	Mre11 nuclease, second domain	This entry represents the second calcineurin-like nuclease domain of DNA double-strand break repair protein Mre11 from Pyrococcus furiosus and similar archaeal proteins. Mre11, also known as Mre11 nuclease, is part of the Rad50/Mre11 complex, which is involved in the early steps of DNA double-strand break (DSB) repair. This domain shows a beta-sheet and two alpha-helices [1-3]. (from Pfam)
NF046720.2	PF22265.2	T26-6p_Ig-like_dom_2	27	27	130	domain	Y	N	N	T26-6p, second immunoglobulin-like domain					19319959	28890	Methanobacteriota	phylum	83	EBI-EMBL	T26-6p, second immunoglobulin-like domain	T26-6p, second immunoglobulin-like domain	This domain is found in T26-6p from Thermococcus (Swiss:D6MY29) and similar archaeal sequences. T26-6p has three domains: two beta- sandwich with two sheets made of four antiparallel beta-strands (Pfam:PF22092 and this entry) and a bundle of five alpha-helices (Pfam:PF20984) (PMID: 19319959). (from Pfam)
NF047095.2	PF22092.2	T26-6p_Ig-like_dom	27	27	137	domain	Y	N	N	T26-6p, immunoglobulin-like domain					19319959	28890	Methanobacteriota	phylum	77	EBI-EMBL	T26-6p, immunoglobulin-like domain	T26-6p, immunoglobulin-like domain	This domain is found in T26-6p from Thermococcus (Swiss:D6MY29) and similar archaeal sequences. It is predicted to fold as a beta- sandwich with two sheets made of four antiparallel beta-strands (PMID: 19319959). (from Pfam)
NF048102.1	PF23373.1	DUF7093	27	27	214	subfamily	Y	Y	N	DUF7093 family protein						28890	Methanobacteriota	phylum	766	EBI-EMBL	Family of unknown function (DUF7093)	DUF7093 family protein	This family represents a group of proteins from halobacteria. It shows two conserved motifs WP and several conserved D and R residues. Members are predicted to show beta-sheets at the N- and C-terminal ends. (from Pfam)
NF048103.1	PF23374.1	Fn3_arc	28.9	28.9	78	domain	Y	N	N	Archaeal fibronectin-III type-like domain						28890	Methanobacteriota	phylum	740	EBI-EMBL	Archaeal fibronectin-III type-like domain	Archaeal fibronectin-III type-like domain	This domain is found at the C-terminal end of a group of proteins from halobacteria. It is predicted to show structural similarity to the fibronectin type III domain. (from Pfam)
NF048106.1	PF23384.1	DUF7098	27	27	81	subfamily	Y	Y	N	DUF7098 family protein						28890	Methanobacteriota	phylum	558	EBI-EMBL	Family of unknown function (DUF7098)	DUF7098 family protein	This family represents a group of proteins from halobacteria. It has several conserved motifs WHGP, QLWC and RxYxP. It is predicted to adopt a predominantly beta structure with a short alpha-helix. (from Pfam)
NF048124.1	PF23443.1	DUF7126	28.7	28.7	102	subfamily	Y	Y	N	DUF7126 family protein						28890	Methanobacteriota	phylum	651	EBI-EMBL	Family of unknown function (DUF7126)	DUF7126 family protein	This family represents a group of proteins from halobacteria. Members are predicted to show an alpha-beta configuration with similarity to the Rossmann fold of the TrkA-N domain (Pfam:PF02254). (from Pfam)
NF048245.1	PF23928.1	DUF7266	27.6	27.6	145	subfamily	Y	Y	N	DUF7266 family protein						28890	Methanobacteriota	phylum	1195	EBI-EMBL	Family of unknown function (DUF7266)	DUF7266 family protein	This entry represents uncharacterised archaeal proteins. (from Pfam)
NF048255.2	PF23960.2	DUF7289	27	27	238	subfamily	Y	Y	N	DUF7289 family protein						28890	Methanobacteriota	phylum	2861	EBI-EMBL	Family of unknown function (DUF7289)	DUF7289 family protein	This entry represents a group of uncharacterised archaeal proteins. Their genes occur in pilB/pilC operons. (from Pfam)
NF048283.1	PF24110.1	DUF7385	28	28	72	subfamily	Y	Y	N	DUF7385 family protein						28890	Methanobacteriota	phylum	735	EBI-EMBL	Family of unknown function (DUF7385)	DUF7385 family protein	This entry represents a small group of archaeal sequences whose function is unknown. (from Pfam)
NF048333.1	PF24286.1	DUF7474	27	27	194	subfamily	Y	Y	N	DUF7474 family protein						28890	Methanobacteriota	phylum	345	EBI-EMBL	Family of unknown function (DUF7474)	DUF7474 family protein	This family includes a group of proteins from archaea. Members are predicted to adopt a mainly alpha-helical structure. (from Pfam)
NF048353.1	PF24365.1	DUF7521	27	27	82	subfamily	Y	Y	N	DUF7521 family protein						28890	Methanobacteriota	phylum	3155	EBI-EMBL	Family of unknown function (DUF7521)	DUF7521 family protein	This family includes a group of proteins from archaea. (from Pfam)
NF048366.1	PF24446.1	DUF7565	27.1	27.1	92	subfamily	Y	Y	N	DUF7565 family protein						28890	Methanobacteriota	phylum	481	EBI-EMBL	Family of unknown function (DUF7565)	DUF7565 family protein	This entry represents a small family of uncharacterised proteins found in archaea and eukaryotes. These proteins contain two pairs of conserved cysteines and two pairs of conserved histidines that are probably involved in zinc coordination. These proteins likely resemble two classical C2H2 zinc fingers that pack on each other and form a compact globular structure. (from Pfam)
NF048539.1	PF23375.1	DUF7094	27	27	108	domain	Y	Y	N	DUF7094 domain-containing protein						28890	Methanobacteriota	phylum	729	EBI-EMBL	Family of unknown function (DUF7094)	Family of unknown function (DUF7094)	This domain is found in a group of proteins from halobacteria. It shows several Y and Q conserved residues and is predicted to show an antiparallel beta-sheet and an alpha-helix. (from Pfam)
NF048546.1	PF23422.1	DUF7110	27	27	186	subfamily	Y	Y	N	DUF7110 family protein						28890	Methanobacteriota	phylum	522	EBI-EMBL	Family of unknown function (DUF7110)	DUF7110 family protein	This family represents a group of proteins from halobacteria. Members are predicted to show an alpha-beta configuration. (from Pfam)
NF048548.1	PF23426.1	DUF7114	27	27	210	subfamily	Y	Y	N	DUF7114 family protein						28890	Methanobacteriota	phylum	657	EBI-EMBL	Family of unknown function (DUF7114)	DUF7114 family protein	This family represents a group of proteins from halobacteria. It has several conserved motifs GVQLIYEGLR, EPW and GR/K/QxQT/S. Members are predicted to show an all-alpha configuration. (from Pfam)
NF048552.1	PF23438.1	DUF7123	27	27	70	subfamily	Y	Y	N	DUF7123 family protein						28890	Methanobacteriota	phylum	1803	EBI-EMBL	Domain of unknown function (DUF7123)	DUF7123 family protein	This domain is found in a group of proteins mainly from halobacteria. It is predicted to show an HTH fold. (from Pfam)
NF048555.1	PF23442.1	DUF7125	29.1	29.1	207	subfamily	Y	Y	N	DUF7125 family protein						28890	Methanobacteriota	phylum	940	EBI-EMBL	Family of unknown function (DUF7125)	DUF7125 family protein	This family represents a group of proteins from halobacteria. Members are predicted to show an alpha-beta configuration with similarity to the KaiC domain (Pfam:PF06745). (from Pfam)
NF048705.1	PF23996.1	DUF7314	27	27	87	subfamily	Y	Y	N	DUF7314 family protein						28890	Methanobacteriota	phylum	423	EBI-EMBL	Domain of unknown function (DUF7314)	DUF7314 family protein	This domain is found in uncharacterised archaeal proteins. It is predicted to fold into an alpha-helical hairpin and it is likely associated with the membrane. (from Pfam)
NF048707.1	PF24003.1	DUF7319	27	27	205	domain	Y	Y	N	DUF7319 domain-containing protein						28890	Methanobacteriota	phylum	515	EBI-EMBL	Domain of unknown function (DUF7319)	Domain of unknown function (DUF7319)	This domain is found in uncharacterised archaeal proteins. (from Pfam)
NF048718.1	PF24035.1	DUF7344	27.8	27.8	76	domain	Y	Y	N	DUF7344 domain-containing protein						28890	Methanobacteriota	phylum	12167	EBI-EMBL	Domain of unknown function (DUF7344)	Domain of unknown function (DUF7344)	This is a presumed HTH domain found in a group of uncharacterised archaeal sequences. (from Pfam)
NF048812.1	PF24453.1	DUF7569	27	27	70	subfamily	Y	Y	N	DUF7569 family protein						28890	Methanobacteriota	phylum	240	EBI-EMBL	Family of unknown function (DUF7569)	DUF7569 family protein	This entry represents a small family of uncharacterised proteins found mainly in Halobacteria. They contain two pairs of conserved cysteines that are likely involved in metal coordination. These proteins are predicted to structurally resemble treble-clef zinc fingers. (from Pfam)
NF048887.1	PF24744.1	CARF-assoc_HTH	27	27	55	domain	Y	N	N	CARF-associated HTH						28890	Methanobacteriota	phylum	16	EBI-EMBL	CARF-associated HTH	CARF-associated HTH	This is a presumed HTH domain found at the C-terminal of CARF-containing proteins mainly from archaea. (from Pfam)
NF048998.1	PF23365.1	DUF7090	27	27	192	subfamily	Y	Y	N	DUF7090 family protein						28890	Methanobacteriota	phylum	2760	EBI-EMBL	Family of unknown function (DUF7090)	DUF7090 family protein	This entry represents a family of proteins from halobacteria. Members of this family, often annotated as ATPases, are predicted to show a central beta-sheet with alpha-helices in both sides. (from Pfam)
NF049013.2	PF23428.2	DUF7115	27	27	108	domain	Y	Y	N	DUF7115 domain-containing protein						28890	Methanobacteriota	phylum	697	EBI-EMBL	Domain of unknown function (DUF7115)	Domain of unknown function (DUF7115)	This domain is found at the N-terminal of HVO_2519 from Haloferax volcanii (Swiss:D4GTV1) and similar proteins mainly found in halobacteria. It has several conserved motifs RTxxYR, Y/FxHxxxR an RRK. It is predicted to show an alpha-beta configuration. (from Pfam)
NF049229.1	PF24279.1	HVO_2525_N	27	27	135	domain	Y	N	N	HVO_2525, N-terminal						28890	Methanobacteriota	phylum	465	EBI-EMBL	HVO_2525, N-terminal	HVO_2525, N-terminal	This domain is found at the N-terminal of the predicted transcription regulator HVO_2525 from Haloferax volcanii and similar archaeal proteins. This domain is predicted to adopt an alpha-beta structure. It is often found associated with Pfam:PF04967. (from Pfam)
NF049231.1	PF24284.1	DUF7472	27	27	65	subfamily	Y	Y	N	DUF7472 family protein						28890	Methanobacteriota	phylum	572	EBI-EMBL	Family of unknown function (DUF7472)	DUF7472 family protein	This family includes a group of short proteins from archaea. Members are predicted to adopt an alpha-helical structure. (from Pfam)
NF049270.1	PF24433.1	DUF7556	27	27	56	subfamily	Y	Y	N	DUF7556 family protein						28890	Methanobacteriota	phylum	772	EBI-EMBL	Family of unknown function (DUF7556)	DUF7556 family protein	This entry represents a small family of uncharacterised proteins found in archaea. These proteins are predicted to be largely disordered. They contain a semi-conserved VIADxx[DE]xAW sequence motif. (from Pfam)
NF049487.1	PF23421.1	DUF7109	27	27	151	subfamily	Y	Y	N	DUF7109 family protein						28890	Methanobacteriota	phylum	711	EBI-EMBL	Family of unknown function (DUF7109)	DUF7109 family protein	This family represents a group of proteins from halobacteria. It has several conserved motifs LAGV/IVDLFG, DxPHI and LxDVxYD/ExExW and five highly conserved R residues. Members are predicted to show a mainly alpha-helical structure with a small beta-sheet. (from Pfam)
NF049621.1	PF23985.1	DUF7308	27	27	200	domain	Y	Y	N	DUF7308 domain-containing protein						28890	Methanobacteriota	phylum	311	EBI-EMBL	Domain of unknown function (DUF7308)	Domain of unknown function (DUF7308)	This domain is found in uncharacterised archaeal proteins most of which likely associated with proteins located in pilBC operon. It is frequently found inserted in [Pfam:PF23960]. This domain is predicted to fold into a globular structure with a beta-sandwich topology. (from Pfam)
NF049623.1	PF23997.1	DUF7315	27	27	102	subfamily	Y	Y	N	DUF7315 family membrane protein						28890	Methanobacteriota	phylum	461	EBI-EMBL	Domain of unknown function (DUF7315)	DUF7315 family membrane protein	This domain is found in uncharacterised archaeal proteins. It is predicted to fold into an alpha-helical hairpin and it is likely associated with the membrane. (from Pfam)
NF049624.1	PF24007.1	DUF7321	27	27	155	subfamily	Y	Y	N	DUF7321 family protein						28890	Methanobacteriota	phylum	472	EBI-EMBL	Domain of unknown function (DUF7321)	DUF7321 family protein	This domain is found in uncharacterised archaeal proteins. It is predicted to fold into a four-helical bundle and it is likely associated with the membrane. (from Pfam)
