Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_11__MGr3G3H3I_000000030488_3	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	unclassified	medium																		KEGG
vRhyme_unbinned_11__MGr3G3H3I_000000030488_4	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	unclassified	medium																		KEGG
vRhyme_unbinned_11__MGr3G3H3I_000000030488_5	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	unclassified	medium																		KEGG
vRhyme_unbinned_11__MGr3G3H3I_000000030488_8	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	unclassified	medium																		KEGG
vRhyme_unbinned_11__MGr3G3H3I_000000030488_9	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	unclassified	medium																		KEGG
vRhyme_unbinned_12__MGr3G3H3I_000000034564_7	vRhyme_unbinned_12__MGr3G3H3I_000000034564	vRhyme_unbinned_12__MGr3G3H3I_000000034564	unclassified	medium	DNA methylase					PF01555.25	DNA methylase							phrog_498	DNA methyltransferase	PF01555.25	DNA methylase	Pfam
vRhyme_unbinned_13__MGr3G3H3I_000000037801_18	vRhyme_unbinned_13__MGr3G3H3I_000000037801	vRhyme_unbinned_13__MGr3G3H3I_000000037801	unclassified	medium	DNA polymerase/primase					PF13481.13	AAA domain							phrog_10729	DNA polymerase/primase	phrog_10729	DNA polymerase/primase	PHROG
vRhyme_unbinned_13__MGr3G3H3I_000000037801_19	vRhyme_unbinned_13__MGr3G3H3I_000000037801	vRhyme_unbinned_13__MGr3G3H3I_000000037801	unclassified	medium	Helix-turn-helix domain					PF12728.14	Helix-turn-helix domain									PF12728.14	Helix-turn-helix domain	Pfam
vRhyme_unbinned_13__MGr3G3H3I_000000037801_22	vRhyme_unbinned_13__MGr3G3H3I_000000037801	vRhyme_unbinned_13__MGr3G3H3I_000000037801	unclassified	medium	Domain of unknown function (DUF4304)					PF14137.12	Domain of unknown function (DUF4304)									PF14137.12	Domain of unknown function (DUF4304)	Pfam
vRhyme_unbinned_13__MGr3G3H3I_000000037801_23	vRhyme_unbinned_13__MGr3G3H3I_000000037801	vRhyme_unbinned_13__MGr3G3H3I_000000037801	unclassified	medium	xerD; integrase/recombinase XerD	K04763	xerD; integrase/recombinase XerD			PF00589.28	Phage integrase family							phrog_1	integrase	K04763	xerD; integrase/recombinase XerD	KEGG
vRhyme_unbinned_13__MGr3G3H3I_000000037801_24	vRhyme_unbinned_13__MGr3G3H3I_000000037801	vRhyme_unbinned_13__MGr3G3H3I_000000037801	unclassified	medium																		KEGG
vRhyme_unbinned_16__MGr3G3H3I_000000046301_3	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	unclassified	medium	transposase													phrog_310	transposase	phrog_310	transposase	PHROG
vRhyme_unbinned_17__MGr3G3H3I_000000049710_14	vRhyme_unbinned_17__MGr3G3H3I_000000049710	vRhyme_unbinned_17__MGr3G3H3I_000000049710	unclassified	medium																		KEGG
vRhyme_unbinned_17__MGr3G3H3I_000000049710_15	vRhyme_unbinned_17__MGr3G3H3I_000000049710	vRhyme_unbinned_17__MGr3G3H3I_000000049710	unclassified	medium																		KEGG
vRhyme_unbinned_17__MGr3G3H3I_000000049710_16	vRhyme_unbinned_17__MGr3G3H3I_000000049710	vRhyme_unbinned_17__MGr3G3H3I_000000049710	unclassified	medium	Mu-like prophage major head subunit gpT					PF10124.16	Mu-like prophage major head subunit gpT									PF10124.16	Mu-like prophage major head subunit gpT	Pfam
vRhyme_unbinned_18__MGr3G3H3I_000000052374_1	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium	""													phrog_17260	""	phrog_17260	""	PHROG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_10	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_11	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_12	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_13	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_14	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_15	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_16	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_17	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_18	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_2	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium	meT1; MMP 1-O-methyltransferase [EC:2.1.1.365]	K24288	meT1; MMP 1-O-methyltransferase [EC:2.1.1.365]			PF13578.13	Methyltransferase domain									K24288	meT1; MMP 1-O-methyltransferase [EC:2.1.1.365]	KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_3	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_4	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium	Methyltransferase domain	K24288	meT1; MMP 1-O-methyltransferase [EC:2.1.1.365]			PF13578.13	Methyltransferase domain									PF13578.13	Methyltransferase domain	Pfam
vRhyme_unbinned_18__MGr3G3H3I_000000052374_5	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_6	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_7	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_8	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_18__MGr3G3H3I_000000052374_9	vRhyme_unbinned_18__MGr3G3H3I_000000052374	vRhyme_unbinned_18__MGr3G3H3I_000000052374	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_1	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_10	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_11	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_12	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_13	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_14	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_15	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_16	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_17	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_18	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_19	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_2	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_20	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_21	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_22	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium	""													phrog_25864	""	phrog_25864	""	PHROG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_23	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_24	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_3	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_4	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_5	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium	terminase large subunit													phrog_2666	terminase large subunit	phrog_2666	terminase large subunit	PHROG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_6	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_7	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_8	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_19__MGr3G3H3I_000000052512_9	vRhyme_unbinned_19__MGr3G3H3I_000000052512	vRhyme_unbinned_19__MGr3G3H3I_000000052512	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_1	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium	""													phrog_2423	""	phrog_2423	""	PHROG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_10	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_11	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_2	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_3	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_4	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium	major head protein													phrog_283	major head protein	phrog_283	major head protein	PHROG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_5	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium	Repeat of unknown function (DUF5907)					PF19264.5	Repeat of unknown function (DUF5907)									PF19264.5	Repeat of unknown function (DUF5907)	Pfam
vRhyme_unbinned_1__MGr3G3H3I_000000002691_6	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_7	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_8	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_1__MGr3G3H3I_000000002691_9	vRhyme_unbinned_1__MGr3G3H3I_000000002691	vRhyme_unbinned_1__MGr3G3H3I_000000002691	unclassified	medium																		KEGG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_1	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium	AcrB/AcrD/AcrF family					PF00873.26	AcrB/AcrD/AcrF family							phrog_7301	""	PF00873.26	AcrB/AcrD/AcrF family	Pfam
vRhyme_unbinned_20__MGr3G3H3I_000000054425_10	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium	Helix-turn-helix domain					PF12728.14	Helix-turn-helix domain									PF12728.14	Helix-turn-helix domain	Pfam
vRhyme_unbinned_20__MGr3G3H3I_000000054425_11	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium	DNA primase	K07505	repA; regulatory protein RepA			PF13481.13	AAA domain							phrog_2597	DNA primase	phrog_2597	DNA primase	PHROG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_3	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium																		KEGG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_4	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium																		KEGG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_5	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium	higB; mRNA interferase HigB [EC:3.1.-.-]	K19166	higB; mRNA interferase HigB [EC:3.1.-.-]			PF09907.16	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system							phrog_5734	""	K19166	higB; mRNA interferase HigB [EC:3.1.-.-]	KEGG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_7	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium	integrase	K14059	int; integrase			PF00589.28	Phage integrase family							phrog_1	integrase	phrog_1	integrase	PHROG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_8	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium																		KEGG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_9	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	unclassified	medium																		KEGG
vRhyme_unbinned_21__MGr3G3H3I_000000062622_2	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	unclassified	medium	integrase					PF00589.28	Phage integrase family							phrog_1	integrase	phrog_1	integrase	PHROG
vRhyme_unbinned_21__MGr3G3H3I_000000062622_9	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	unclassified	medium	""			HMMsoil51712	ENTPD2; adenosinetriphosphatase [EC:3.6.1.-]	PF00271.38	Helicase conserved C-terminal domain							phrog_26785	""	phrog_26785	""	PHROG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_1	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	integrase	K14059	int; integrase			PF00589.28	Phage integrase family							phrog_1	integrase	phrog_1	integrase	PHROG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_10	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_11	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_12	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	Helix-turn-helix domain					PF13518.13	Helix-turn-helix domain									PF13518.13	Helix-turn-helix domain	Pfam
vRhyme_unbinned_22__MGr3G3H3I_000000064551_13	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	Helix-turn-helix domain					PF12728.14	Helix-turn-helix domain									PF12728.14	Helix-turn-helix domain	Pfam
vRhyme_unbinned_22__MGr3G3H3I_000000064551_14	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_15	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	""													phrog_625	""	phrog_625	""	PHROG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_16	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_17	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	RNA repair, ligase-Pnkp-associating, region of Hen1	K20798	HENMT1; small RNA 2'-O-methyltransferase [EC:2.1.1.386]	HMMsoil13481	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222] [EC:2.1.1.64]	PF12623.13	RNA repair, ligase-Pnkp-associating, region of Hen1							phrog_4752	tRNA methyltransferase	PF12623.13	RNA repair, ligase-Pnkp-associating, region of Hen1	Pfam
vRhyme_unbinned_22__MGr3G3H3I_000000064551_18	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	PNKP adenylyltransferase domain, ligase domain	K01525	apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	HMMsoil23054	E3.1.3.16; protein phosphatase [EC:3.1.3.16]	PF16542.11	PNKP adenylyltransferase domain, ligase domain							phrog_246	NinI-like serine-threonine phosphatase	PF16542.11	PNKP adenylyltransferase domain, ligase domain	Pfam
vRhyme_unbinned_22__MGr3G3H3I_000000064551_19	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	Domain of unknown function (DUF3592)					PF12158.15	Domain of unknown function (DUF3592)									PF12158.15	Domain of unknown function (DUF3592)	Pfam
vRhyme_unbinned_22__MGr3G3H3I_000000064551_2	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_20	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_21	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_22	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_23	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	spoIVCA; site-specific DNA recombinase	K06400	spoIVCA; site-specific DNA recombinase			PF00239.27	Resolvase, N terminal domain							phrog_95	integrase	K06400	spoIVCA; site-specific DNA recombinase	KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_24	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_25	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_3	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_4	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_5	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_6	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium	DNA primase	K06919	K06919; putative DNA primase/helicase			PF09250.17	Bifunctional DNA primase/polymerase, N-terminal							phrog_1156	DNA primase	phrog_1156	DNA primase	PHROG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_7	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_8	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_22__MGr3G3H3I_000000064551_9	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	unclassified	medium																		KEGG
vRhyme_unbinned_23__MGr3G3H3I_000000065081_1	vRhyme_unbinned_23__MGr3G3H3I_000000065081	vRhyme_unbinned_23__MGr3G3H3I_000000065081	unclassified	medium	head protein													phrog_1236	head protein	phrog_1236	head protein	PHROG
vRhyme_unbinned_23__MGr3G3H3I_000000065081_2	vRhyme_unbinned_23__MGr3G3H3I_000000065081	vRhyme_unbinned_23__MGr3G3H3I_000000065081	unclassified	medium																		KEGG
vRhyme_unbinned_23__MGr3G3H3I_000000065081_3	vRhyme_unbinned_23__MGr3G3H3I_000000065081	vRhyme_unbinned_23__MGr3G3H3I_000000065081	unclassified	medium																		KEGG
vRhyme_unbinned_23__MGr3G3H3I_000000065081_4	vRhyme_unbinned_23__MGr3G3H3I_000000065081	vRhyme_unbinned_23__MGr3G3H3I_000000065081	unclassified	medium																		KEGG
vRhyme_unbinned_23__MGr3G3H3I_000000065081_5	vRhyme_unbinned_23__MGr3G3H3I_000000065081	vRhyme_unbinned_23__MGr3G3H3I_000000065081	unclassified	medium																		KEGG
vRhyme_unbinned_23__MGr3G3H3I_000000065081_6	vRhyme_unbinned_23__MGr3G3H3I_000000065081	vRhyme_unbinned_23__MGr3G3H3I_000000065081	unclassified	medium																		KEGG
vRhyme_unbinned_26__MGr3G3H3I_000000077400_1	vRhyme_unbinned_26__MGr3G3H3I_000000077400	vRhyme_unbinned_26__MGr3G3H3I_000000077400	unclassified	medium	eCIS core domain					PF13699.12	eCIS core domain									PF13699.12	eCIS core domain	Pfam
vRhyme_unbinned_26__MGr3G3H3I_000000077400_10	vRhyme_unbinned_26__MGr3G3H3I_000000077400	vRhyme_unbinned_26__MGr3G3H3I_000000077400	unclassified	medium																		KEGG
vRhyme_unbinned_26__MGr3G3H3I_000000077400_11	vRhyme_unbinned_26__MGr3G3H3I_000000077400	vRhyme_unbinned_26__MGr3G3H3I_000000077400	unclassified	medium	Family of unknown function (DUF6519)					PF20129.5	Family of unknown function (DUF6519)									PF20129.5	Family of unknown function (DUF6519)	Pfam
vRhyme_unbinned_26__MGr3G3H3I_000000077400_2	vRhyme_unbinned_26__MGr3G3H3I_000000077400	vRhyme_unbinned_26__MGr3G3H3I_000000077400	unclassified	medium																		KEGG
vRhyme_unbinned_26__MGr3G3H3I_000000077400_3	vRhyme_unbinned_26__MGr3G3H3I_000000077400	vRhyme_unbinned_26__MGr3G3H3I_000000077400	unclassified	medium																		KEGG
vRhyme_unbinned_26__MGr3G3H3I_000000077400_4	vRhyme_unbinned_26__MGr3G3H3I_000000077400	vRhyme_unbinned_26__MGr3G3H3I_000000077400	unclassified	medium																		KEGG
