Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_30__MGr3G3H3I_000000102693_1	vRhyme_unbinned_30__MGr3G3H3I_000000102693	vRhyme_unbinned_30__MGr3G3H3I_000000102693	unclassified	medium	false																		
vRhyme_unbinned_30__MGr3G3H3I_000000102693_2	vRhyme_unbinned_30__MGr3G3H3I_000000102693	vRhyme_unbinned_30__MGr3G3H3I_000000102693	unclassified	medium	false																		
vRhyme_unbinned_30__MGr3G3H3I_000000102693_3	vRhyme_unbinned_30__MGr3G3H3I_000000102693	vRhyme_unbinned_30__MGr3G3H3I_000000102693	unclassified	medium	false																		
vRhyme_unbinned_30__MGr3G3H3I_000000102693_4	vRhyme_unbinned_30__MGr3G3H3I_000000102693	vRhyme_unbinned_30__MGr3G3H3I_000000102693	unclassified	medium	true	Transglycosylase SLT domain					PF01464.26	Transglycosylase SLT domain	GH23	lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)							PF01464	Transglycosylase SLT domain	Pfam
vRhyme_unbinned_32__MGr3G3H3I_000000112980_10	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	unclassified	medium	true	Protein of unknown function (Hypoth_ymh)					PF09509.16	Protein of unknown function (Hypoth_ymh)									PF09509	Protein of unknown function (Hypoth_ymh)	Pfam
vRhyme_unbinned_32__MGr3G3H3I_000000112980_11	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	unclassified	medium	true	integrase	K14059	int; integrase			PF00589.28	Phage integrase family							phrog_1	integrase	phrog_1	integrase	PHROG
vRhyme_unbinned_32__MGr3G3H3I_000000112980_4	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	unclassified	medium	true	res; type III restriction enzyme [EC:3.1.21.5]	K01156	res; type III restriction enzyme [EC:3.1.21.5]													K01156	res; type III restriction enzyme [EC:3.1.21.5]	KEGG
vRhyme_unbinned_32__MGr3G3H3I_000000112980_6	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	unclassified	medium	true	ybjD; putative ATP-dependent endonuclease of the OLD family	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family											phrog_4747	""	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family	KEGG
vRhyme_unbinned_32__MGr3G3H3I_000000112980_7	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	unclassified	medium	true	""	K03657	uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]											phrog_25205	""	phrog_25205	""	PHROG
vRhyme_unbinned_33__MGr3G3H3I_000000117414_4	vRhyme_unbinned_33__MGr3G3H3I_000000117414	vRhyme_unbinned_33__MGr3G3H3I_000000117414	unclassified	medium	false																		
vRhyme_unbinned_33__MGr3G3H3I_000000117414_5	vRhyme_unbinned_33__MGr3G3H3I_000000117414	vRhyme_unbinned_33__MGr3G3H3I_000000117414	unclassified	medium	false																		
vRhyme_unbinned_35__MGr3G3H3I_000000124827_12	vRhyme_unbinned_35__MGr3G3H3I_000000124827	vRhyme_unbinned_35__MGr3G3H3I_000000124827	unclassified	medium	false																		
vRhyme_unbinned_35__MGr3G3H3I_000000124827_22	vRhyme_unbinned_35__MGr3G3H3I_000000124827	vRhyme_unbinned_35__MGr3G3H3I_000000124827	unclassified	medium	false																		
vRhyme_unbinned_35__MGr3G3H3I_000000124827_25	vRhyme_unbinned_35__MGr3G3H3I_000000124827	vRhyme_unbinned_35__MGr3G3H3I_000000124827	unclassified	medium	false	""					PF24729.3	Acb2/Tad1, hairpin domain							phrog_1454	""	phrog_1454	""	PHROG
vRhyme_unbinned_35__MGr3G3H3I_000000124827_26	vRhyme_unbinned_35__MGr3G3H3I_000000124827	vRhyme_unbinned_35__MGr3G3H3I_000000124827	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_1	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_10	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_14	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true	endolysin													phrog_21825	endolysin	phrog_21825	endolysin	PHROG
vRhyme_unbinned_37__MGr3G3H3I_000000135683_15	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true	""													phrog_32617	""	phrog_32617	""	PHROG
vRhyme_unbinned_37__MGr3G3H3I_000000135683_16	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_17	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_18	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_19	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_2	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_20	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_21	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_22	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	false																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_4	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_6	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true	DNA polymerase					PF03175.19	DNA polymerase type B, organellar and viral							phrog_1907	DNA polymerase	phrog_1907	DNA polymerase	PHROG
vRhyme_unbinned_37__MGr3G3H3I_000000135683_7	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_8	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true																		
vRhyme_unbinned_37__MGr3G3H3I_000000135683_9	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	unclassified	medium	true																		
vRhyme_unbinned_39__MGr3G3H3I_000000139510_10	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	false																		
vRhyme_unbinned_39__MGr3G3H3I_000000139510_12	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	true	replication initiation protein													phrog_1032	replication initiation protein	phrog_1032	replication initiation protein	PHROG
vRhyme_unbinned_39__MGr3G3H3I_000000139510_13	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	true																		
vRhyme_unbinned_39__MGr3G3H3I_000000139510_14	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	true	TWNK, PEO1; twinkle mtDNA helicase [EC:5.6.2.3]	K17680	TWNK, PEO1; twinkle mtDNA helicase [EC:5.6.2.3]											phrog_239	DNA primase/helicase	K17680	TWNK, PEO1; twinkle mtDNA helicase [EC:5.6.2.3]	KEGG
vRhyme_unbinned_39__MGr3G3H3I_000000139510_16	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	true	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]	K00769	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]	HMMsoil15564	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]									phrog_8995	phosphoribosyl transferase	K00769	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]	KEGG
vRhyme_unbinned_39__MGr3G3H3I_000000139510_5	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	false																		
vRhyme_unbinned_39__MGr3G3H3I_000000139510_6	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	false																		
vRhyme_unbinned_39__MGr3G3H3I_000000139510_7	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	false																		
vRhyme_unbinned_39__MGr3G3H3I_000000139510_8	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	false																		
vRhyme_unbinned_39__MGr3G3H3I_000000139510_9	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	unclassified	medium	false																		
vRhyme_unbinned_3__MGr3G3H3I_000000009885_1	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	unclassified	medium	true	""					PF18836.8	YdcK Beta solenoid repeat							phrog_5070	""	phrog_5070	""	PHROG
vRhyme_unbinned_3__MGr3G3H3I_000000009885_3	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	unclassified	medium	true																		
vRhyme_unbinned_3__MGr3G3H3I_000000009885_7	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_10	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	false																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_11	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	false																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_3	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	false																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_32	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_33	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true	Family of unknown function (DUF5983) C-terminal domain					PF19419.6	Family of unknown function (DUF5983) C-terminal domain									PF19419	Family of unknown function (DUF5983) C-terminal domain	Pfam
vRhyme_unbinned_40__MGr3G3H3I_000000139685_44	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_45	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_50	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true	Nuclease-related domain					PF08378.18	Nuclease-related domain									PF08378	Nuclease-related domain	Pfam
vRhyme_unbinned_40__MGr3G3H3I_000000139685_51	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_52	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_53	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_54	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true	transposase	K07496	K07496; putative transposase											phrog_506	transposase	phrog_506	transposase	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_55	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_56	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_57	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true	Holliday junction branch migration helicase													phrog_6819	Holliday junction branch migration helicase	phrog_6819	Holliday junction branch migration helicase	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_60	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true	sigE_F_G; RNA polymerase sigma-E/F/G factor	K03091	sigE_F_G; RNA polymerase sigma-E/F/G factor													K03091	sigE_F_G; RNA polymerase sigma-E/F/G factor	KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_61	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	true	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	HMMsoil6395	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	PF00712.25	DNA polymerase III beta subunit, N-terminal domain							phrog_947	DNA polymerase processivity factor	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_64	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	false																		
vRhyme_unbinned_40__MGr3G3H3I_000000139685_65	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	medium	false																		
vRhyme_unbinned_41__MGr3G3H3I_000000142568_23	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	medium	true																		
vRhyme_unbinned_42__MGr3G3H3I_000000144901_5	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	medium	false	23S rRNA-intervening sequence protein					PF05635.18	23S rRNA-intervening sequence protein									PF05635	23S rRNA-intervening sequence protein	Pfam
vRhyme_unbinned_42__MGr3G3H3I_000000144901_6	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	medium	false																		
vRhyme_unbinned_43__MGr3G3H3I_000000145042_21	vRhyme_unbinned_43__MGr3G3H3I_000000145042	vRhyme_unbinned_43__MGr3G3H3I_000000145042	unclassified	medium	false																		
vRhyme_unbinned_44__MGr3G3H3I_000000146975_10	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false	terminase large subunit													phrog_38	terminase large subunit	phrog_38	terminase large subunit	PHROG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_11	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false																		
vRhyme_unbinned_44__MGr3G3H3I_000000146975_12	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false																		
vRhyme_unbinned_44__MGr3G3H3I_000000146975_18	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false																		
vRhyme_unbinned_44__MGr3G3H3I_000000146975_4	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false	methyltransferase													phrog_8156	methyltransferase	phrog_8156	methyltransferase	PHROG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_5	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false																		
vRhyme_unbinned_44__MGr3G3H3I_000000146975_6	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false																		
vRhyme_unbinned_44__MGr3G3H3I_000000146975_7	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false																		
vRhyme_unbinned_44__MGr3G3H3I_000000146975_8	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false	glycosyltransferase													phrog_1962	glycosyltransferase	phrog_1962	glycosyltransferase	PHROG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_9	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	medium	false																		
vRhyme_unbinned_48__MGr3G3H3I_000000154912_2	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	unclassified	medium	true	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]			PF01555.25	DNA methylase									K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	KEGG
vRhyme_unbinned_48__MGr3G3H3I_000000154912_5	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	unclassified	medium	true																		
vRhyme_unbinned_48__MGr3G3H3I_000000154912_6	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	unclassified	medium	true																		
vRhyme_unbinned_48__MGr3G3H3I_000000154912_7	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	unclassified	medium	true																		
vRhyme_unbinned_49__MGr3G3H3I_000000157758_1	vRhyme_unbinned_49__MGr3G3H3I_000000157758	vRhyme_unbinned_49__MGr3G3H3I_000000157758	unclassified	medium	false																		
vRhyme_unbinned_49__MGr3G3H3I_000000157758_3	vRhyme_unbinned_49__MGr3G3H3I_000000157758	vRhyme_unbinned_49__MGr3G3H3I_000000157758	unclassified	medium	false	T4-like virus tail tube protein gp19					PF06841.19	T4-like virus tail tube protein gp19									PF06841	T4-like virus tail tube protein gp19	Pfam
vRhyme_unbinned_50__MGr3G3H3I_000000159176_11	vRhyme_unbinned_50__MGr3G3H3I_000000159176	vRhyme_unbinned_50__MGr3G3H3I_000000159176	unclassified	medium	true	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]	K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]			PF01420.26	Type I restriction modification DNA specificity domain							phrog_2668	""	K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]	KEGG
vRhyme_unbinned_50__MGr3G3H3I_000000159176_6	vRhyme_unbinned_50__MGr3G3H3I_000000159176	vRhyme_unbinned_50__MGr3G3H3I_000000159176	unclassified	medium	true	DNA invertase	K14060	pinR; putative DNA-invertase from lambdoid prophage Rac			PF00239.27	Resolvase, N terminal domain							phrog_125	DNA invertase	phrog_125	DNA invertase	PHROG
vRhyme_unbinned_52__MGr3G3H3I_000000162741_10	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_11	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_12	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_2	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_21	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_3	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_5	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_6	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_7	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_8	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_52__MGr3G3H3I_000000162741_9	vRhyme_unbinned_52__MGr3G3H3I_000000162741	vRhyme_unbinned_52__MGr3G3H3I_000000162741	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_1	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	false																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_10	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_11	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_12	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_13	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_14	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true	""													phrog_5156	""	phrog_5156	""	PHROG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_15	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_17	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true	yhdJ; adenine-specific DNA-methyltransferase [EC:2.1.1.72]	K07319	yhdJ; adenine-specific DNA-methyltransferase [EC:2.1.1.72]			PF01555.25	DNA methylase									K07319	yhdJ; adenine-specific DNA-methyltransferase [EC:2.1.1.72]	KEGG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_18	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_19	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_2	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	false																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_20	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_21	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true	Resolvase, N terminal domain					PF00239.27	Resolvase, N terminal domain									PF00239	Resolvase, N terminal domain	Pfam
vRhyme_unbinned_53__MGr3G3H3I_000000162938_22	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	true	spoIVCA; site-specific DNA recombinase	K06400	spoIVCA; site-specific DNA recombinase											phrog_95	integrase	K06400	spoIVCA; site-specific DNA recombinase	KEGG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_24	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	false																		
vRhyme_unbinned_53__MGr3G3H3I_000000162938_25	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	false	Transposase DDE domain group 1					PF13701.13	Transposase DDE domain group 1							phrog_11704	transposase	PF13701	Transposase DDE domain group 1	Pfam
vRhyme_unbinned_53__MGr3G3H3I_000000162938_26	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	unclassified	medium	false																		
